"Notes"	"Year"	"Year Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"2003"	"2003"	"Rhode Island"	"44"	6208
	"2003"	"2003"	"South Carolina"	"45"	21286
	"2003"	"2003"	"South Dakota"	"46"	4112
	"2003"	"2003"	"Tennessee"	"47"	26771
	"2003"	"2003"	"Texas"	"48"	92381
	"2003"	"2003"	"Utah"	"49"	7709
	"2003"	"2003"	"Vermont"	"50"	3485
	"2003"	"2003"	"Virginia"	"51"	34154
	"2003"	"2003"	"Washington"	"53"	30901
	"2003"	"2003"	"West Virginia"	"54"	10812
	"2003"	"2003"	"Wisconsin"	"55"	28360
	"2003"	"2003"	"Wyoming"	"56"	2426
	"2004"	"2004"	"Alabama"	"01"	22934
	"2004"	"2004"	"Alaska"	"02"	2540
	"2004"	"2004"	"Arizona"	"04"	25113
	"2004"	"2004"	"Arkansas"	"05"	14288
	"2004"	"2004"	"California"	"06"	151229
	"2004"	"2004"	"Colorado"	"08"	19080
	"2004"	"2004"	"Connecticut"	"09"	20377
	"2004"	"2004"	"Delaware"	"10"	4694
	"2004"	"2004"	"District of Columbia"	"11"	2856
	"2004"	"2004"	"Florida"	"12"	106474
	"2004"	"2004"	"Georgia"	"13"	38104
	"2004"	"2004"	"Hawaii"	"15"	6287
	"2004"	"2004"	"Idaho"	"16"	6373
	"2004"	"2004"	"Illinois"	"17"	63661
	"2004"	"2004"	"Indiana"	"18"	31076
	"2004"	"2004"	"Iowa"	"19"	16742
	"2004"	"2004"	"Kansas"	"20"	13761
	"2004"	"2004"	"Kentucky"	"21"	23059
	"2004"	"2004"	"Louisiana"	"22"	22679
	"2004"	"2004"	"Maine"	"23"	8603
	"2004"	"2004"	"Maryland"	"24"	26473
	"2004"	"2004"	"Massachusetts"	"25"	37092
	"2004"	"2004"	"Michigan"	"26"	53908
	"2004"	"2004"	"Minnesota"	"27"	25327
	"2004"	"2004"	"Mississippi"	"28"	13880
	"2004"	"2004"	"Missouri"	"29"	29757
	"2004"	"2004"	"Montana"	"30"	5100
	"2004"	"2004"	"Nebraska"	"31"	9087
	"2004"	"2004"	"Nevada"	"32"	11030
	"2004"	"2004"	"New Hampshire"	"33"	7276
	"2004"	"2004"	"New Jersey"	"34"	48482
	"2004"	"2004"	"New Mexico"	"35"	8510
	"2004"	"2004"	"New York"	"36"	104167
	"2004"	"2004"	"North Carolina"	"37"	42890
	"2004"	"2004"	"North Dakota"	"38"	3430
	"2004"	"2004"	"Ohio"	"39"	60764
	"2004"	"2004"	"Oklahoma"	"40"	18307
	"2004"	"2004"	"Oregon"	"41"	19043
	"2004"	"2004"	"Pennsylvania"	"42"	75489
	"2004"	"2004"	"Rhode Island"	"44"	6546
	"2004"	"2004"	"South Carolina"	"45"	21767
	"2004"	"2004"	"South Dakota"	"46"	4128
	"2004"	"2004"	"Tennessee"	"47"	28524
	"2004"	"2004"	"Texas"	"48"	93195
	"2004"	"2004"	"Utah"	"49"	8001
	"2004"	"2004"	"Vermont"	"50"	3499
	"2004"	"2004"	"Virginia"	"51"	34790
	"2004"	"2004"	"Washington"	"53"	31834
	"2004"	"2004"	"West Virginia"	"54"	11072
	"2004"	"2004"	"Wisconsin"	"55"	28856
	"2004"	"2004"	"Wyoming"	"56"	2433
	"2005"	"2005"	"Alabama"	"01"	23334
	"2005"	"2005"	"Alaska"	"02"	2463
	"2005"	"2005"	"Arizona"	"04"	25896
	"2005"	"2005"	"Arkansas"	"05"	14585
	"2005"	"2005"	"California"	"06"	153366
	"2005"	"2005"	"Colorado"	"08"	19585
	"2005"	"2005"	"Connecticut"	"09"	20744
	"2005"	"2005"	"Delaware"	"10"	4984
	"2005"	"2005"	"District of Columbia"	"11"	2872
	"2005"	"2005"	"Florida"	"12"	109954
	"2005"	"2005"	"Georgia"	"13"	38724
	"2005"	"2005"	"Hawaii"	"15"	6368
	"2005"	"2005"	"Idaho"	"16"	6740
	"2005"	"2005"	"Illinois"	"17"	64089
	"2005"	"2005"	"Indiana"	"18"	31653
	"2005"	"2005"	"Iowa"	"19"	16923
	"2005"	"2005"	"Kansas"	"20"	13812
	"2005"	"2005"	"Kentucky"	"21"	23315
	"2005"	"2005"	"Louisiana"	"22"	21608
	"2005"	"2005"	"Maine"	"23"	8625
	"2005"	"2005"	"Maryland"	"24"	26856
	"2005"	"2005"	"Massachusetts"	"25"	37605
	"2005"	"2005"	"Michigan"	"26"	54673
	"2005"	"2005"	"Minnesota"	"27"	25486
	"2005"	"2005"	"Mississippi"	"28"	14012
	"2005"	"2005"	"Missouri"	"29"	31500
	"2005"	"2005"	"Montana"	"30"	5398
	"2005"	"2005"	"Nebraska"	"31"	9300
	"2005"	"2005"	"Nevada"	"32"	10901
	"2005"	"2005"	"New Hampshire"	"33"	7521
	"2005"	"2005"	"New Jersey"	"34"	48874
	"2005"	"2005"	"New Mexico"	"35"	8479
	"2005"	"2005"	"New York"	"36"	105791
	"2005"	"2005"	"North Carolina"	"37"	45250
	"2005"	"2005"	"North Dakota"	"38"	3560
	"2005"	"2005"	"Ohio"	"39"	62003
	"2005"	"2005"	"Oklahoma"	"40"	18364
	"2005"	"2005"	"Oregon"	"41"	19299
	"2005"	"2005"	"Pennsylvania"	"42"	76284
	"2005"	"2005"	"Rhode Island"	"44"	6257
	"2005"	"2005"	"South Carolina"	"45"	22654
	"2005"	"2005"	"South Dakota"	"46"	4031
	"2005"	"2005"	"Tennessee"	"47"	31126
	"2005"	"2005"	"Texas"	"48"	95110
	"2005"	"2005"	"Utah"	"49"	8147
	"2005"	"2005"	"Vermont"	"50"	3581
	"2005"	"2005"	"Virginia"	"51"	35926
	"2005"	"2005"	"Washington"	"53"	32534
	"2005"	"2005"	"West Virginia"	"54"	11393
	"2005"	"2005"	"Wisconsin"	"55"	28815
	"2005"	"2005"	"Wyoming"	"56"	2366
	"2005"	"2005"	"Puerto Rico"	"72"	12758
	"2006"	"2006"	"Alabama"	"01"	24102
	"2006"	"2006"	"Alaska"	"02"	2601
	"2006"	"2006"	"Arizona"	"04"	26999
	"2006"	"2006"	"Arkansas"	"05"	14815
	"2006"	"2006"	"California"	"06"	155002
	"2006"	"2006"	"Colorado"	"08"	20001
	"2006"	"2006"	"Connecticut"	"09"	21500
	"2006"	"2006"	"Delaware"	"10"	5282
	"2006"	"2006"	"District of Columbia"	"11"	2858
	"2006"	"2006"	"Florida"	"12"	110967
	"2006"	"2006"	"Georgia"	"13"	40667
	"2006"	"2006"	"Hawaii"	"15"	6432
	"2006"	"2006"	"Idaho"	"16"	6952
	"2006"	"2006"	"Illinois"	"17"	66026
	"2006"	"2006"	"Indiana"	"18"	32769
	"2006"	"2006"	"Iowa"	"19"	17255
	"2006"	"2006"	"Kansas"	"20"	14078
	"2006"	"2006"	"Kentucky"	"21"	24544
	"2006"	"2006"	"Louisiana"	"22"	22180
	"2006"	"2006"	"Maine"	"23"	8960
	"2006"	"2006"	"Maryland"	"24"	27028
	"2006"	"2006"	"Massachusetts"	"25"	38806
	"2006"	"2006"	"Michigan"	"26"	55579
	"2006"	"2006"	"Minnesota"	"27"	26336
	"2006"	"2006"	"Mississippi"	"28"	14586
	"2006"	"2006"	"Missouri"	"29"	31773
	"2006"	"2006"	"Montana"	"30"	5361
	"2006"	"2006"	"Nebraska"	"31"	9458
	"2006"	"2006"	"Nevada"	"32"	11596
	"2006"	"2006"	"New Hampshire"	"33"	7619
	"2006"	"2006"	"New Jersey"	"34"	50719
	"2006"	"2006"	"New Mexico"	"35"	8697
	"2006"	"2006"	"New York"	"36"	109046
	"2006"	"2006"	"North Carolina"	"37"	46685
	"2006"	"2006"	"North Dakota"	"38"	3580
	"2006"	"2006"	"Ohio"	"39"	62700
	"2006"	"2006"	"Oklahoma"	"40"	19469
	"2006"	"2006"	"Oregon"	"41"	19825
	"2006"	"2006"	"Pennsylvania"	"42"	78407
	"2006"	"2006"	"Rhode Island"	"44"	6540
	"2006"	"2006"	"South Carolina"	"45"	23270
	"2006"	"2006"	"South Dakota"	"46"	3969
	"2006"	"2006"	"Tennessee"	"47"	31928
	"2006"	"2006"	"Texas"	"48"	97034
	"2006"	"2006"	"Utah"	"49"	8551
	"2006"	"2006"	"Vermont"	"50"	3869
	"2006"	"2006"	"Virginia"	"51"	36721
	"2006"	"2006"	"Washington"	"53"	32995
	"2006"	"2006"	"West Virginia"	"54"	11552
	"2006"	"2006"	"Wisconsin"	"55"	29801
	"2006"	"2006"	"Wyoming"	"56"	2550
	"2006"	"2006"	"Puerto Rico"	"72"	13120
	"2007"	"2007"	"Alabama"	"01"	25070
	"2007"	"2007"	"Alaska"	"02"	2645
	"2007"	"2007"	"Arizona"	"04"	28217
	"2007"	"2007"	"Arkansas"	"05"	15364
	"2007"	"2007"	"California"	"06"	161721
	"2007"	"2007"	"Colorado"	"08"	21496
	"2007"	"2007"	"Connecticut"	"09"	21629
	"2007"	"2007"	"Delaware"	"10"	5351
	"2007"	"2007"	"District of Columbia"	"11"	3085
	"2007"	"2007"	"Florida"	"12"	113682
	"2007"	"2007"	"Georgia"	"13"	43699
	"2007"	"2007"	"Hawaii"	"15"	6712
	"2007"	"2007"	"Idaho"	"16"	7362
	"2007"	"2007"	"Illinois"	"17"	67409
	"2007"	"2007"	"Indiana"	"18"	33104
	"2007"	"2007"	"Iowa"	"19"	17378
	"2007"	"2007"	"Kansas"	"20"	14718
	"2007"	"2007"	"Kentucky"	"21"	25186
	"2007"	"2007"	"Louisiana"	"22"	23029
	"2007"	"2007"	"Maine"	"23"	8857
	"2007"	"2007"	"Maryland"	"24"	29029
	"2007"	"2007"	"Massachusetts"	"25"	39041
	"2007"	"2007"	"Michigan"	"26"	57850
	"2007"	"2007"	"Minnesota"	"27"	27826
	"2007"	"2007"	"Mississippi"	"28"	15433
	"2007"	"2007"	"Missouri"	"29"	32126
	"2007"	"2007"	"Montana"	"30"	5552
	"2007"	"2007"	"Nebraska"	"31"	9776
	"2007"	"2007"	"Nevada"	"32"	11541
	"2007"	"2007"	"New Hampshire"	"33"	7765
	"2007"	"2007"	"New Jersey"	"34"	51383
	"2007"	"2007"	"New Mexico"	"35"	9029
	"2007"	"2007"	"New York"	"36"	111202
	"2007"	"2007"	"North Carolina"	"37"	48603
	"2007"	"2007"	"North Dakota"	"38"	3693
	"2007"	"2007"	"Ohio"	"39"	63609
	"2007"	"2007"	"Oklahoma"	"40"	20255
	"2007"	"2007"	"Oregon"	"41"	20093
	"2007"	"2007"	"Pennsylvania"	"42"	79909
	"2007"	"2007"	"Rhode Island"	"44"	6592
	"2007"	"2007"	"South Carolina"	"45"	24304
	"2007"	"2007"	"South Dakota"	"46"	4300
	"2007"	"2007"	"Tennessee"	"47"	33145
	"2007"	"2007"	"Texas"	"48"	101883
	"2007"	"2007"	"Utah"	"49"	8769
	"2007"	"2007"	"Vermont"	"50"	3784
	"2007"	"2007"	"Virginia"	"51"	38819
	"2007"	"2007"	"Washington"	"53"	32542
	"2007"	"2007"	"West Virginia"	"54"	11830
	"2007"	"2007"	"Wisconsin"	"55"	30646
	"2007"	"2007"	"Wyoming"	"56"	2520
	"2007"	"2007"	"Puerto Rico"	"72"	13357
	"2008"	"2008"	"Alabama"	"01"	26071
	"2008"	"2008"	"Alaska"	"02"	2787
